Thunder Cage,雷电囚笼,サンダープリズン,leidianqiulong,ldql
Psyblade,精神剑,サイコブレイド,jingshenjian,jsj
Hydro Steam,水蒸气,ハイドロスチーム,shuizhengqi,szq
Ruination,大灾难,カタストロフィ,dazainan,dzn
Collision Course,全开猛撞,アクセルブレイク,quankaimengzhuang,qkmz
Electro Drift,闪电猛冲,イナズマドライブ,shandianmengchong,sdmc
Shed Tail,断尾,しっぽきり,duanwei,dw
Chilly Reception,冷笑话,さむいギャグ,lengxiaohua,lxh
Tidy Up,大扫除,おかたづけ,dasaochu,dsc
Snowscape,雪景,ゆきげしき,xuejing,xj
Pounce,虫扑,とびつく,chongpu,cp
Trailblaze,起草,くさわけ,qicao,qc
Chilling Water,泼冷水,ひやみず,polengshui,pls
Hyper Drill,强力钻,ハイパードリル,qianglizuan,qlz
Twin Beam,双光束,ツインビーム,shuangguangshu,sgs
Rage Fist,愤怒之拳,ふんどのこぶし,fennuzhiquan,fnzq
Armor Cannon,铠农炮,アーマーキャノン,kainongpao,knp
Bitter Blade,悔念剑,むねんのつるぎ,huinianjian,hnj
Double Shock,电光双击,でんこうそうげき,dianguangshuangji,dgsj
Gigaton Hammer,巨力锤,デカハンマー,julichui,jlc
Comeuppance,复仇,ほうふく,fuchou,fc
Aqua Cutter,水波刀,アクアカッター,shuibodao,sbd
Blazing Torque,灼热暴冲,バーンアクセル,zhuorebaochong,zrbc
Wicked Torque,黑暗暴冲,ダークアクセル,heianbaochong,habc
Noxious Torque,剧毒暴冲,ポイズンアクセル,judubaochong,jdbc
Combat Torque,格斗暴冲,ファイトアクセル,gedoubaochong,gdbc
Magical Torque,魔法暴冲,マジカルアクセル,mofabaochong,mfbc
Blood Moon,血月,ブラッドムーン,xueyue,xy
Matcha Gotcha,刷刷茶炮,シャカシャカほう,shuashuachapao,sscp
Syrup Bomb,糖浆炸弹,みずあめボム‎,tangjiangzhadan,tjzd
Ivy Cudgel,棘藤棒,ツタこんぼう,jitengbang,jtb
Electro Shot,电光束,エレクトロビーム,dianguangshu,dgs
Tera Starstorm,晶光星群,テラクラスター,jingguangxingqun,jgxq
Fickle Beam,随机光,きまぐレーザー,suijiguang,sjg
Burning Bulwark,火焰守护,かえんのまもり,huoyanshouhu,hysh
Thunderclap,迅雷,じんらい,xunlei,xl
Mighty Cleave,强刃攻击,パワフルエッジ,qiangrengongji,qrgj
Tachyon Cutter,迅子利刃,タキオンカッター,xunziliren,xzlr
Hard Press,硬压,ハードプレス,yingya,yy
Dragon Cheer,龙声鼓舞,ドラゴンエール,longshengguwu,lsgw
Alluring Voice,魅诱之声,みわくのボイス,meiyouzhisheng,myzs
Temper Flare,豁出去,やけっぱち,huochuqu,hcq
Supercell Slam,闪电强袭,サンダーダイブ,shandianqiangxi,sdqx
Psychic Noise,精神噪音,サイコノイズ,jingshenzaoyin,jszy
Upper Hand,快手还击,はやてがえし,kuaishouhaiji,kshj
Malignant Chain,邪毒锁链,じゃどくのくさり,xiedusuolian,xdsl
